Profile Pit No.,FAO Classification,Local Name/Series,Longitude,Latitude,Horizon,Top-Depth,Bottom Depth,Moist Color,Dry Color,Org. Carbon,Total N,CACO3,GYPSUM,PHH2O,PHKCL,PH CaCl2,ECE,Exch. Ca,Exch Mg,Exch. Na,Exch. K,Exch Al,Exch. Acid,CEC Soil,Sand,Silt,Clay,Textual Class,GRAVEL,BULKDENS
82,Ferric Lixisol,[USDA-code: OUSHAUL],29.48333,-13.66667,EA,11,34,10YR4/3,10YR7/3,2.6,0.2,0,0,6.3,5.2,5.4,0.1,0.6,0.2,,0.2,,,0.9,87,7,6,Loamy Sand,,1.56
82,Ferric Lixisol,[USDA-code: OUSHAUL],29.48333,-13.66667,EB,34,61,7.5YR5/4,7.5YR7/4,2.3,0.2,0,0,6.2,5.2,5.6,0.1,0.5,0.6,,0.5,,0.6,1.6,73,7,20,Sandy Loam,,1.61
82,Ferric Lixisol,[USDA-code: OUSHAUL],29.48333,-13.66667,Bw1,61,99,7.5YR5/6,7.5YR/7,1.3,,0,0,5.2,4.4,4.8,0.1,0.6,0.7,0.01,0.3,0.3,1.9,2.7,58,5,37,Sandy Loam,,1.64
82,Ferric Lixisol,[USDA-code: OUSHAUL],29.48333,-13.66667,Bw2,99,151,7.5YR5/6,7.5YR7/6,1,,0,0,5.6,4.4,4.7,0.1,0.5,0.5,,0.3,,1.9,2.5,58,6,36,Sandy Loam,,1.54
82,Ferric Lixisol,[USDA-code: OUSHAUL],29.48333,-13.66667,BW3,151,174,5YR5/6,7.5YR7/6,0.9,,0,0,5.8,4.7,4.9,0.1,0.7,0.6,,0.2,,1.9,2.9,56,7,37,Sandy Loam,,1.47
83,Haplic Lixisol,[USDA-code: UUSPAOX],25.38333,-17.83333,Ap1,0,19,7.5YR4/4,,4.6,0.4,0,0,4.8,4.3,4.4,0.1,0.7,0.3,,0.2,,1.2,1.2,87,8,5,Loamy Sand,,1.66
83,Haplic Lixisol,[USDA-code: UUSPAOX],25.38333,-17.83333,Ap2,19,31,7.5YR4/4,,2.4,0.2,0,0,4.7,4.2,4.3,0.1,0.2,0.1,,0.2,0.2,1.5,0.9,86,8,6,Loamy Sand,,1.65
83,Haplic Lixisol,[USDA-code: UUSPAOX],25.38333,-17.83333,Bt1,31,72,5YR4/6,5YR5/8,1.5,0.1,0,0,5.7,4.7,5,0.1,1.3,0.2,0.2,0.2,,2.4,2.1,75,7,18,Sandy Loam,,1.71
83,Haplic Lixisol,[USDA-code: UUSPAOX],25.38333,-17.83333,Bt2,72,125,5YR5/8,5YR6/8,1.4,,0,0,5.8,5,5.3,0.1,1.2,0.5,,0.2,,1.7,2.4,69,6,25,Sandy Clay Loam,,1.59
83,Haplic Lixisol,[USDA-code: UUSPAOX],25.38333,-17.83333,Bt3,125,185,5YR5/8,5YR6/8,0.9,,0,0,5.8,4.8,5,0.1,0.7,0.7,,0.1,,2.4,2.7,61,10,29,Sandy Clay Loam,,1.69
83,Haplic Lixisol,[USDA-code: UUSPAOX],25.38333,-17.83333,BC,185,198,5YR5/6,5YR5/6,0.8,,0,0,5.6,5,4.7,0.1,0.7,0.9,,0.2,,3.4,3.9,60,16,24,Sandy Clay Loam,25,1.59
84,Haplic Nitisol,[USDA-code: MUSPAUD],28.06667,-14.71667,Ap,0,21,10YR3/2,10YR4/3,20.3,1.4,0,0,5.8,4.6,4.8,0.1,5.8,3.9,,0.2,,10.3,15.1,41,22,37,Clay Loam,,1.36
84,Haplic Nitisol,[USDA-code: MUSPAUD],28.06667,-14.71667,AB,21,39,7.5YR3/4,7.5YR4/4,14.1,1.1,0,0,5.9,4.5,5,0.1,6.1,3.8,0.1,0.1,,10.7,15.7,31,19,50,Clay,,1.53
84,Haplic Nitisol,[USDA-code: MUSPAUD],28.06667,-14.71667,Bt1,39,70,7.5YR4/6,7.5YR5/6,11.1,0.9,0,0,6,4.8,5,0.1,6.1,3.6,,0.1,,9.8,15.8,26,18,56,Clay,,1.47
84,Haplic Nitisol,[USDA-code: MUSPAUD],28.06667,-14.71667,Bt2,70,103,7.5YR4/6,7.5YR5/6,7.9,,0,0,5.7,5.2,5.2,0.1,6,3.7,,0.1,,9,14.8,23,17,60,Clay,,1.35
84,Haplic Nitisol,[USDA-code: MUSPAUD],28.06667,-14.71667,Bt3,103,144,10YR4/6,10YR5/6,6.2,,0,0,5.9,5.3,5.4,0.1,5.5,3.8,,,,7.6,13.9,25,18,57,Clay,,1.34
84,Haplic Nitisol,[USDA-code: MUSPAUD],28.06667,-14.71667,Btco,144,179,10YR4/6,10YR5/6,3.7,,0,0,6.2,5.7,5.8,0.1,4.6,3.7,,,,6.8,11.9,25,19,56,Clay,50,1.36
85,Carbic Podzol,[USDA-code: SHUTRAR],23.15,-15.21667,A1,0,9,N2/0,,19.8,,0,0,3.9,2.8,3,0.1,0.4,,,,1,10.2,6.6,97,1,2,Sand,,1.54
85,Carbic Podzol,[USDA-code: SHUTRAR],23.15,-15.21667,A2,9,41,N3/0,,9.3,,0,0,3.6,3.3,3.2,0.1,0.2,,,,1.3,5.9,3.4,98,1,1,Sand,,1.62
85,Carbic Podzol,[USDA-code: SHUTRAR],23.15,-15.21667,A3,41,76,N3/0,,5.1,,0,0,4.4,3.6,3.6,0.1,0.2,,,,1.1,3.5,2.2,,,,,,
85,Carbic Podzol,[USDA-code: SHUTRAR],23.15,-15.21667,E,76,101,10YR4/1,10YR6/1,2.8,,0,0,4.5,3.9,3.9,0.1,0.1,,,,0.7,2.6,1.5,,,,,,
85,Carbic Podzol,[USDA-code: SHUTRAR],23.15,-15.21667,Bh1,101,150,7.5YR3/2,7.5YR3/4,7.2,,0,0,5.1,4.4,4.5,0.1,0.1,,,,0.7,6.6,2.1,96,3,1,Sand,,1.62
85,Carbic Podzol,[USDA-code: SHUTRAR],23.15,-15.21667,Bh2,150,200,7.5YR4/2,7.5YR4/4,2.6,,0,0,5.4,4.7,4.9,0.1,0.2,,,,0.2,1.9,0.4,96,3,1,Sand,,1.74
86,Eutric Vertisol,[USDA-code: VUSCHUD],27.91667,-15.76667,A,0,8,2.5Y3/2,2.5Y4/2,24.5,1.9,,,6.7,5.7,6.2,0.51,18.1,11,0.2,0.7,0.1,0.1,30.9,30,19,51,Clay,,1.73
86,Eutric Vertisol,[USDA-code: VUSCHUD],27.91667,-15.76667,Bw,8,24,5Y3/2,5Y4/3,8.1,0.7,,,7.4,6.6,6.8,0.27,17.7,10,0.6,0.2,0,0,29.3,26,21,53,Clay,,1.93
86,Eutric Vertisol,[USDA-code: VUSCHUD],27.91667,-15.76667,Bk1,24,74,5Y3/2,5Y4/2,5.7,0.4,4,,8.4,7.1,7.7,0.47,19.2,12.1,2.5,0.2,0,0,28.6,27,21,52,Clay,,2.1
86,Eutric Vertisol,[USDA-code: VUSCHUD],27.91667,-15.76667,Bk2,74,133,5Y3/2,5Y4/2,5.6,,15,,8.5,7.7,8,1.67,23.2,15.7,6,0.2,0,0,28.7,25,21,54,Clay,,2.03
86,Eutric Vertisol,[USDA-code: VUSCHUD],27.91667,-15.76667,BCk,133,154,5Y4/3,,4.7,,7,8,8.1,7.2,7.9,6.19,51.3,16,7.6,0.2,0,0,27.9,25,19,56,Clay,,1.99
