SOILS_ID,XCOORD,YCOORD,SOILTYPE,SOILSYMB
273,31.948628,-13.354903,x,Vt7
274,27.275683,-13.284674,x,Pu4
275,26.229463,-13.056055,x,H3
276,28.477857,-13.119423,Leptosols,Pu28
277,27.768693,-13.135283,Leptosols,Pu28
278,26.390741,-13.062201,Ferralsols,Pu1
279,31.430405,-13.628334,Solonetz,Vt4
280,24.72653,-13.086289,Gleysols,A4
281,23.646497,-13.316406,Arenosols,Es3
282,23.475042,-13.090358,Gleysols,D6
283,27.712507,-13.270202,Histosols,D7
284,23.122877,-13.17293,Gleysols,D6
285,23.070723,-13.065511,Arenosols,Es3
286,22.919036,-13.104669,Arenosols,Es4
287,22.790842,-13.088155,Arenosols,Es2
288,23.013415,-13.458707,Arenosols,A3
289,22.477641,-13.46389,x,Es10
290,32.172523,-13.28321,x,Vt7
291,22.51098,-13.044445,Arenosols,A3
292,27.346079,-13.263625,x,D9
293,30.350778,-13.393102,x,Pd3
294,27.902909,-13.320769,Vertisols,A7
295,24.946261,-13.358421,Gleysols,D5
296,28.537432,-14.303117,Lixisols,Pu19
297,22.150396,-13.119406,Arenosols,A3
298,27.357124,-13.240626,x,D8
299,24.639725,-13.404373,Arenosols,Es4
300,27.41638,-13.380837,x,Pu4
301,26.18871,-13.226561,x,H3
302,23.806221,-13.262871,Arenosols,Es2
303,26.856652,-13.925384,Leptosols,Pu28
304,28.403573,-13.317172,Acrisols,Pu5
305,27.665232,-13.253897,Vertisols,A7
306,24.439529,-13.281315,Gleysols,D5
307,32.745832,-13.381896,Alisols,Pu15
308,22.981786,-13.809853,x,Es11
309,22.047737,-13.072941,Arenosols,Es4
310,27.551833,-13.296696,Vertisols,A7
311,27.372636,-13.649788,Vertisols,A7
312,23.085749,-13.149604,Arenosols,Es2
313,22.118202,-13.103939,x,Es10
314,32.10321,-13.413008,Solonetz,Vt4
315,29.487126,-13.566584,Leptosols,H2
316,30.850931,-13.512453,Acrisols,Vd1
317,23.62695,-13.705592,Arenosols,Es4
318,27.029043,-13.292627,x,Pu4
319,24.032097,-13.229428,Gleysols,D6
320,32.547495,-13.448086,Acrisols,Pu7
321,28.471657,-13.372503,Leptosols,Pu28
322,28.05357,-13.440358,Ferralsols,Pu2
323,26.336338,-13.371905,Leptosols,Pu28
324,28.464843,-13.713101,x,Pd3
325,26.521276,-13.346984,x,H3
326,22.506329,-13.220474,Arenosols,Es4
327,22.947246,-13.219287,Arenosols,Es2
328,27.079066,-13.347977,x,Pu4
329,27.485781,-13.381287,x,D8
330,28.028049,-13.405949,x,Pu4
331,32.701605,-13.476411,Alisols,Pu15
332,29.920037,-14.38286,x,Vd2
333,29.665901,-13.498372,x,Pd3
334,26.20096,-13.433571,x,H3
335,29.165385,-13.486236,Leptosols,H2
336,26.376246,-13.431565,x,H3
337,22.539291,-13.315241,Arenosols,Es2
338,27.484878,-13.59805,Leptosols,Pu28
339,27.089644,-13.454216,x,Pu4
340,32.374526,-13.569468,Luvisols,Pu22
341,25.810056,-13.46133,Leptosols,H2
342,24.511703,-13.375857,Gleysols,D5
343,32.688878,-13.55449,Leptosols,H2
344,25.095738,-13.786731,Acrisols,Pu7
345,28.241043,-13.549773,Phaeozems,Pu26
346,28.013451,-13.577897,Nitisols,Pu20
347,24.357844,-13.479489,Acrisols,Pu6
348,29.882142,-13.587939,Leptosols,H2
349,32.329905,-13.60133,Leptosols,H2
350,26.954133,-13.618989,x,H3
351,32.545624,-13.681936,Alisols,Pu15
352,32.42309,-13.606078,Leptosols,H2
353,22.983317,-13.680713,Arenosols,Es2
354,26.800897,-13.620493,Regosols,Pu27
355,28.135412,-13.604743,x,D9
356,26.100142,-13.583889,Ferralsols,Pu1
357,32.488848,-13.774397,Acrisols,Pu7
358,32.75714,-13.713386,Leptosols,H2
359,22.278999,-13.559416,Arenosols,Es4
360,26.160652,-13.612961,Leptosols,Pu28
361,25.595777,-13.687811,Acrisols,Pu6
362,29.98022,-13.789181,Leptosols,H2
363,23.503256,-13.520463,Arenosols,Es2
364,29.639477,-13.683532,Leptosols,H2
365,24.799017,-14.230582,Acrisols,Es1
366,32.140785,-13.831758,Alisols,Pu14
367,22.294626,-13.744186,Arenosols,A3
368,27.267104,-13.71232,x,Pu4
369,31.78465,-13.859205,Cambisols,Pd2
370,25.775352,-13.66325,Leptosols,Pu28
371,26.161643,-13.673544,x,H3
372,25.523476,-13.713901,Acrisols,Es1
373,23.456592,-13.596274,Arenosols,Es2
374,26.292081,-13.716452,x,H3
375,22.160234,-13.670108,x,Es10
376,32.756969,-14.014314,Leptosols,H2
377,31.88498,-13.919349,Alisols,Pu15
378,25.292338,-14.107988,Leptosols,Pu28
379,31.036822,-13.825816,Solonetz,Vt4
380,29.720505,-13.882295,Leptosols,H2
381,31.794242,-14.26559,Acrisols,Pu7
382,23.557934,-13.678222,Arenosols,Es2
383,32.379816,-13.925238,Alisols,Pu15
384,24.122476,-13.758801,Planosols,D1
385,27.640416,-13.965159,Regosols,Pu27
386,28.000634,-14.075348,Gleysols,D5
387,32.806742,-14.02328,Acrisols,Pu7
388,25.825517,-14.159344,Gleysols,A4
389,25.631833,-13.892962,Regosols,Pu27
390,22.813821,-13.739968,Arenosols,Es2
391,31.064007,-14.09404,x,Vt5
392,22.410295,-13.777302,Arenosols,Es4
393,27.969586,-13.935177,Acrisols,Pu7
394,29.611027,-14.014325,Leptosols,H2
395,25.983797,-14.701207,Regosols,Pu27
396,27.520599,-13.996912,Acrisols,Pu7
397,32.570656,-14.154109,Acrisols,Pu7
398,25.59208,-14.028548,Gleysols,A4
399,22.436593,-14.298309,Arenosols,Es2
400,22.826764,-13.825347,Arenosols,Es2
401,27.936667,-14.078229,Acrisols,Pu7
402,26.187731,-13.998151,Acrisols,Es1
403,30.883384,-14.038257,Leptosols,He
404,26.904473,-14.079543,x,H3
405,26.007794,-14.090408,Acrisols,Es1
406,27.579366,-14.427915,Gleysols,A6
407,31.281621,-14.146049,Leptosols,He
408,26.509051,-14.020849,x,H3
409,29.76213,-14.207735,x,Pd3
410,31.151474,-14.431436,Lixisols,Pu19
411,31.902992,-14.170289,Alisols,Pu14
412,25.548673,-14.149215,Acrisols,Es1
413,26.533338,-14.098141,Ferralsols,Pu3
414,25.85514,-14.15321,Histosols,S1
415,25.590373,-14.062805,Acrisols,Es1
416,23.000631,-14.973305,x,A12
417,26.224581,-14.099759,Acrisols,Es1
418,27.710074,-14.37557,Histosols,S1
419,28.044277,-14.169907,Gleysols,A6
420,30.861262,-14.485609,Phaeozems,Pu24
421,26.891089,-14.252332,x,H3
422,23.471416,-14.237881,Arenosols,Es4
423,28.963712,-14.639842,x,Pd3
424,24.638952,-15.977465,Arenosols,Es4
425,26.668681,-14.306015,x,H3
426,23.539235,-14.474393,x,Es7
427,22.855582,-14.280701,Arenosols,Es4
428,30.396689,-14.667251,x,Vd2
429,26.791335,-14.490451,x,A11
430,26.101427,-15.428496,Leptosols,Pu30
431,30.719565,-14.577241,Lixisols,Pu19
432,21.99763,-14.39484,Arenosols,Es2
433,24.687562,-14.751769,x,Es6
434,26.946765,-14.581183,x,H1
435,27.218532,-14.783378,x,H4
436,31.109509,-14.699483,Planosols,D1
437,26.884388,-14.650321,x,H1
438,29.146819,-14.744925,Fluvisols,A13
439,26.894417,-14.753471,x,H3
440,29.506894,-14.801699,Fluvisols,A13
441,22.222449,-14.737167,Arenosols,Es2
442,29.838145,-14.90165,x,Pd3
443,22.895848,-14.622275,Arenosols,Es4
444,25.237738,-14.789705,x,Pu10
445,29.003177,-14.832571,Fluvisols,A13
446,29.212255,-14.804708,Leptosols,He
447,28.126615,-14.966368,Phaeozems,Pu24
448,29.221001,-14.845296,Leptosols,He
449,26.015015,-14.857659,x,A11
450,28.41759,-14.920784,x,Pd4
451,28.145056,-14.925957,x,Pd4
452,26.981689,-15.027863,x,H4
453,28.120667,-14.970446,Vertisols,A8
454,28.594766,-15.267954,Acrisols,Pu7
455,28.239185,-15.020281,Vertisols,A7
456,27.187278,-15.017077,Acrisols,Pu7
457,25.886472,-15.014871,Vertisols,A7
458,27.549568,-15.073967,x,H4
459,27.631415,-15.31585,Vertisols,A8
460,30.197487,-15.15133,Solonetz,Vt3
461,23.529671,-15.28948,Podzols,Es13
462,29.937481,-15.451225,x,Vd2
463,25.338123,-15.520577,x,Pu10
464,27.12967,-15.668211,Vertisols,A7
465,22.084114,-14.975807,Arenosols,Es2
466,23.71572,-15.490974,x,Es9
467,28.763581,-15.173785,Leptosols,He
468,25.690743,-15.162411,x,A11
469,27.825426,-15.186358,Leptosols,H2
470,23.348596,-15.64031,Arenosols,Es4
471,22.570466,-15.26587,Podzols,Es13
472,28.20064,-15.410336,Leptosols,Pu29
473,22.473672,-15.722916,x,Es7
