"x","y","ind"
543521.285568972,-981368.34101765,94
552681.067209635,-981368.34101765,95
561840.848850298,-981368.34101765,96
497722.377365657,-990528.122658312,221
506882.15900632,-990528.122658312,222
516041.940646983,-990528.122658312,223
525201.722287646,-990528.122658312,224
534361.503928309,-990528.122658312,225
543521.285568972,-990528.122658312,226
552681.067209635,-990528.122658312,227
561840.848850298,-990528.122658312,228
442763.687521679,-999687.904298975,347
451923.469162342,-999687.904298975,348
461083.250803005,-999687.904298975,349
470243.032443668,-999687.904298975,350
479402.814084331,-999687.904298975,351
488562.595724994,-999687.904298975,352
497722.377365657,-999687.904298975,353
506882.15900632,-999687.904298975,354
516041.940646983,-999687.904298975,355
525201.722287646,-999687.904298975,356
534361.503928309,-999687.904298975,357
543521.285568972,-999687.904298975,358
552681.067209635,-999687.904298975,359
561840.848850298,-999687.904298975,360
442763.687521679,-1008847.68593964,479
451923.469162342,-1008847.68593964,480
461083.250803005,-1008847.68593964,481
470243.032443668,-1008847.68593964,482
525201.722287646,-1008847.68593964,488
534361.503928309,-1008847.68593964,489
543521.285568972,-1008847.68593964,490
552681.067209635,-1008847.68593964,491
561840.848850298,-1008847.68593964,492
442763.687521679,-1018007.4675803,611
451923.469162342,-1018007.4675803,612
461083.250803005,-1018007.4675803,613
470243.032443668,-1018007.4675803,614
525201.722287646,-1018007.4675803,620
534361.503928309,-1018007.4675803,621
543521.285568972,-1018007.4675803,622
552681.067209635,-1018007.4675803,623
561840.848850298,-1018007.4675803,624
571000.630490961,-1018007.4675803,625
442763.687521679,-1027167.24922096,743
451923.469162342,-1027167.24922096,744
525201.722287646,-1027167.24922096,752
534361.503928309,-1027167.24922096,753
543521.285568972,-1027167.24922096,754
552681.067209635,-1027167.24922096,755
561840.848850298,-1027167.24922096,756
571000.630490961,-1027167.24922096,757
580160.412131624,-1027167.24922096,758
644278.883616264,-1027167.24922096,765
653438.665256927,-1027167.24922096,766
662598.44689759,-1027167.24922096,767
442763.687521679,-1036327.03086163,875
451923.469162342,-1036327.03086163,876
516041.940646983,-1036327.03086163,883
525201.722287646,-1036327.03086163,884
534361.503928309,-1036327.03086163,885
543521.285568972,-1036327.03086163,886
552681.067209635,-1036327.03086163,887
561840.848850298,-1036327.03086163,888
571000.630490961,-1036327.03086163,889
580160.412131624,-1036327.03086163,890
589320.193772287,-1036327.03086163,891
598479.97541295,-1036327.03086163,892
644278.883616264,-1036327.03086163,897
653438.665256927,-1036327.03086163,898
662598.44689759,-1036327.03086163,899
671758.228538253,-1036327.03086163,900
442763.687521679,-1045486.81250229,1007
451923.469162342,-1045486.81250229,1008
506882.15900632,-1045486.81250229,1014
516041.940646983,-1045486.81250229,1015
525201.722287646,-1045486.81250229,1016
534361.503928309,-1045486.81250229,1017
543521.285568972,-1045486.81250229,1018
552681.067209635,-1045486.81250229,1019
561840.848850298,-1045486.81250229,1020
571000.630490961,-1045486.81250229,1021
580160.412131624,-1045486.81250229,1022
589320.193772287,-1045486.81250229,1023
598479.97541295,-1045486.81250229,1024
607639.757053613,-1045486.81250229,1025
644278.883616264,-1045486.81250229,1029
653438.665256927,-1045486.81250229,1030
662598.44689759,-1045486.81250229,1031
671758.228538253,-1045486.81250229,1032
433603.905881016,-1054646.59414295,1138
442763.687521679,-1054646.59414295,1139
451923.469162342,-1054646.59414295,1140
497722.377365657,-1054646.59414295,1145
506882.15900632,-1054646.59414295,1146
516041.940646983,-1054646.59414295,1147
525201.722287646,-1054646.59414295,1148
534361.503928309,-1054646.59414295,1149
543521.285568972,-1054646.59414295,1150
552681.067209635,-1054646.59414295,1151
561840.848850298,-1054646.59414295,1152
571000.630490961,-1054646.59414295,1153
580160.412131624,-1054646.59414295,1154
589320.193772287,-1054646.59414295,1155
598479.97541295,-1054646.59414295,1156
607639.757053613,-1054646.59414295,1157
616799.538694276,-1054646.59414295,1158
625959.320334938,-1054646.59414295,1159
635119.101975602,-1054646.59414295,1160
644278.883616264,-1054646.59414295,1161
653438.665256927,-1054646.59414295,1162
662598.44689759,-1054646.59414295,1163
671758.228538253,-1054646.59414295,1164
680918.010178916,-1054646.59414295,1165
433603.905881016,-1063806.37578362,1270
442763.687521679,-1063806.37578362,1271
451923.469162342,-1063806.37578362,1272
488562.595724994,-1063806.37578362,1276
497722.377365657,-1063806.37578362,1277
506882.15900632,-1063806.37578362,1278
516041.940646983,-1063806.37578362,1279
525201.722287646,-1063806.37578362,1280
534361.503928309,-1063806.37578362,1281
543521.285568972,-1063806.37578362,1282
552681.067209635,-1063806.37578362,1283
561840.848850298,-1063806.37578362,1284
571000.630490961,-1063806.37578362,1285
580160.412131624,-1063806.37578362,1286
589320.193772287,-1063806.37578362,1287
598479.97541295,-1063806.37578362,1288
607639.757053613,-1063806.37578362,1289
616799.538694276,-1063806.37578362,1290
625959.320334938,-1063806.37578362,1291
635119.101975602,-1063806.37578362,1292
644278.883616264,-1063806.37578362,1293
653438.665256927,-1063806.37578362,1294
662598.44689759,-1063806.37578362,1295
671758.228538253,-1063806.37578362,1296
680918.010178916,-1063806.37578362,1297
690077.791819579,-1063806.37578362,1298
699237.573460242,-1063806.37578362,1299
708397.355100905,-1063806.37578362,1300
433603.905881016,-1072966.15742428,1402
442763.687521679,-1072966.15742428,1403
451923.469162342,-1072966.15742428,1404
461083.250803005,-1072966.15742428,1405
470243.032443668,-1072966.15742428,1406
479402.814084331,-1072966.15742428,1407
488562.595724994,-1072966.15742428,1408
497722.377365657,-1072966.15742428,1409
506882.15900632,-1072966.15742428,1410
516041.940646983,-1072966.15742428,1411
525201.722287646,-1072966.15742428,1412
534361.503928309,-1072966.15742428,1413
543521.285568972,-1072966.15742428,1414
552681.067209635,-1072966.15742428,1415
561840.848850298,-1072966.15742428,1416
571000.630490961,-1072966.15742428,1417
580160.412131624,-1072966.15742428,1418
589320.193772287,-1072966.15742428,1419
598479.97541295,-1072966.15742428,1420
607639.757053613,-1072966.15742428,1421
616799.538694276,-1072966.15742428,1422
625959.320334938,-1072966.15742428,1423
635119.101975602,-1072966.15742428,1424
644278.883616264,-1072966.15742428,1425
653438.665256927,-1072966.15742428,1426
662598.44689759,-1072966.15742428,1427
671758.228538253,-1072966.15742428,1428
680918.010178916,-1072966.15742428,1429
690077.791819579,-1072966.15742428,1430
699237.573460242,-1072966.15742428,1431
708397.355100905,-1072966.15742428,1432
726716.918382231,-1072966.15742428,1434
424444.124240353,-1082125.93906494,1533
433603.905881016,-1082125.93906494,1534
442763.687521679,-1082125.93906494,1535
451923.469162342,-1082125.93906494,1536
461083.250803005,-1082125.93906494,1537
470243.032443668,-1082125.93906494,1538
479402.814084331,-1082125.93906494,1539
488562.595724994,-1082125.93906494,1540
497722.377365657,-1082125.93906494,1541
506882.15900632,-1082125.93906494,1542
516041.940646983,-1082125.93906494,1543
525201.722287646,-1082125.93906494,1544
534361.503928309,-1082125.93906494,1545
543521.285568972,-1082125.93906494,1546
552681.067209635,-1082125.93906494,1547
561840.848850298,-1082125.93906494,1548
571000.630490961,-1082125.93906494,1549
580160.412131624,-1082125.93906494,1550
589320.193772287,-1082125.93906494,1551
598479.97541295,-1082125.93906494,1552
607639.757053613,-1082125.93906494,1553
616799.538694276,-1082125.93906494,1554
625959.320334938,-1082125.93906494,1555
635119.101975602,-1082125.93906494,1556
644278.883616264,-1082125.93906494,1557
653438.665256927,-1082125.93906494,1558
662598.44689759,-1082125.93906494,1559
671758.228538253,-1082125.93906494,1560
680918.010178916,-1082125.93906494,1561
690077.791819579,-1082125.93906494,1562
699237.573460242,-1082125.93906494,1563
708397.355100905,-1082125.93906494,1564
717557.136741568,-1082125.93906494,1565
726716.918382231,-1082125.93906494,1566
735876.700022894,-1082125.93906494,1567
745036.481663557,-1082125.93906494,1568
424444.124240353,-1091285.72070561,1665
433603.905881016,-1091285.72070561,1666
442763.687521679,-1091285.72070561,1667
451923.469162342,-1091285.72070561,1668
461083.250803005,-1091285.72070561,1669
470243.032443668,-1091285.72070561,1670
479402.814084331,-1091285.72070561,1671
488562.595724994,-1091285.72070561,1672
497722.377365657,-1091285.72070561,1673
506882.15900632,-1091285.72070561,1674
516041.940646983,-1091285.72070561,1675
525201.722287646,-1091285.72070561,1676
534361.503928309,-1091285.72070561,1677
543521.285568972,-1091285.72070561,1678
552681.067209635,-1091285.72070561,1679
561840.848850298,-1091285.72070561,1680
571000.630490961,-1091285.72070561,1681
580160.412131624,-1091285.72070561,1682
589320.193772287,-1091285.72070561,1683
598479.97541295,-1091285.72070561,1684
607639.757053613,-1091285.72070561,1685
616799.538694276,-1091285.72070561,1686
625959.320334938,-1091285.72070561,1687
635119.101975602,-1091285.72070561,1688
644278.883616264,-1091285.72070561,1689
653438.665256927,-1091285.72070561,1690
662598.44689759,-1091285.72070561,1691
671758.228538253,-1091285.72070561,1692
680918.010178916,-1091285.72070561,1693
690077.791819579,-1091285.72070561,1694
699237.573460242,-1091285.72070561,1695
708397.355100905,-1091285.72070561,1696
717557.136741568,-1091285.72070561,1697
726716.918382231,-1091285.72070561,1698
735876.700022894,-1091285.72070561,1699
745036.481663557,-1091285.72070561,1700
754196.26330422,-1091285.72070561,1701
763356.044944883,-1091285.72070561,1702
772515.826585546,-1091285.72070561,1703
406124.560959027,-1100445.50234627,1795
415284.34259969,-1100445.50234627,1796
424444.124240353,-1100445.50234627,1797
433603.905881016,-1100445.50234627,1798
442763.687521679,-1100445.50234627,1799
451923.469162342,-1100445.50234627,1800
461083.250803005,-1100445.50234627,1801
470243.032443668,-1100445.50234627,1802
479402.814084331,-1100445.50234627,1803
488562.595724994,-1100445.50234627,1804
497722.377365657,-1100445.50234627,1805
506882.15900632,-1100445.50234627,1806
516041.940646983,-1100445.50234627,1807
525201.722287646,-1100445.50234627,1808
534361.503928309,-1100445.50234627,1809
543521.285568972,-1100445.50234627,1810
552681.067209635,-1100445.50234627,1811
561840.848850298,-1100445.50234627,1812
571000.630490961,-1100445.50234627,1813
580160.412131624,-1100445.50234627,1814
589320.193772287,-1100445.50234627,1815
598479.97541295,-1100445.50234627,1816
607639.757053613,-1100445.50234627,1817
616799.538694276,-1100445.50234627,1818
625959.320334938,-1100445.50234627,1819
635119.101975602,-1100445.50234627,1820
644278.883616264,-1100445.50234627,1821
653438.665256927,-1100445.50234627,1822
662598.44689759,-1100445.50234627,1823
671758.228538253,-1100445.50234627,1824
680918.010178916,-1100445.50234627,1825
690077.791819579,-1100445.50234627,1826
699237.573460242,-1100445.50234627,1827
708397.355100905,-1100445.50234627,1828
717557.136741568,-1100445.50234627,1829
726716.918382231,-1100445.50234627,1830
735876.700022894,-1100445.50234627,1831
745036.481663557,-1100445.50234627,1832
754196.26330422,-1100445.50234627,1833
763356.044944883,-1100445.50234627,1834
772515.826585546,-1100445.50234627,1835
781675.608226209,-1100445.50234627,1836
406124.560959027,-1109605.28398693,1927
415284.34259969,-1109605.28398693,1928
424444.124240353,-1109605.28398693,1929
433603.905881016,-1109605.28398693,1930
442763.687521679,-1109605.28398693,1931
451923.469162342,-1109605.28398693,1932
461083.250803005,-1109605.28398693,1933
470243.032443668,-1109605.28398693,1934
479402.814084331,-1109605.28398693,1935
488562.595724994,-1109605.28398693,1936
497722.377365657,-1109605.28398693,1937
506882.15900632,-1109605.28398693,1938
516041.940646983,-1109605.28398693,1939
525201.722287646,-1109605.28398693,1940
534361.503928309,-1109605.28398693,1941
543521.285568972,-1109605.28398693,1942
552681.067209635,-1109605.28398693,1943
561840.848850298,-1109605.28398693,1944
571000.630490961,-1109605.28398693,1945
580160.412131624,-1109605.28398693,1946
589320.193772287,-1109605.28398693,1947
598479.97541295,-1109605.28398693,1948
607639.757053613,-1109605.28398693,1949
616799.538694276,-1109605.28398693,1950
625959.320334938,-1109605.28398693,1951
635119.101975602,-1109605.28398693,1952
644278.883616264,-1109605.28398693,1953
653438.665256927,-1109605.28398693,1954
662598.44689759,-1109605.28398693,1955
671758.228538253,-1109605.28398693,1956
680918.010178916,-1109605.28398693,1957
690077.791819579,-1109605.28398693,1958
699237.573460242,-1109605.28398693,1959
708397.355100905,-1109605.28398693,1960
717557.136741568,-1109605.28398693,1961
726716.918382231,-1109605.28398693,1962
735876.700022894,-1109605.28398693,1963
745036.481663557,-1109605.28398693,1964
754196.26330422,-1109605.28398693,1965
763356.044944883,-1109605.28398693,1966
772515.826585546,-1109605.28398693,1967
781675.608226209,-1109605.28398693,1968
790835.389866872,-1109605.28398693,1969
799995.171507535,-1109605.28398693,1970
387804.997677702,-1118765.06562759,2057
396964.779318364,-1118765.06562759,2058
406124.560959027,-1118765.06562759,2059
415284.34259969,-1118765.06562759,2060
424444.124240353,-1118765.06562759,2061
433603.905881016,-1118765.06562759,2062
442763.687521679,-1118765.06562759,2063
451923.469162342,-1118765.06562759,2064
461083.250803005,-1118765.06562759,2065
470243.032443668,-1118765.06562759,2066
479402.814084331,-1118765.06562759,2067
488562.595724994,-1118765.06562759,2068
497722.377365657,-1118765.06562759,2069
506882.15900632,-1118765.06562759,2070
516041.940646983,-1118765.06562759,2071
525201.722287646,-1118765.06562759,2072
534361.503928309,-1118765.06562759,2073
543521.285568972,-1118765.06562759,2074
552681.067209635,-1118765.06562759,2075
561840.848850298,-1118765.06562759,2076
571000.630490961,-1118765.06562759,2077
580160.412131624,-1118765.06562759,2078
589320.193772287,-1118765.06562759,2079
598479.97541295,-1118765.06562759,2080
607639.757053613,-1118765.06562759,2081
616799.538694276,-1118765.06562759,2082
625959.320334938,-1118765.06562759,2083
